,sex,age,freetime,studytime,goout
170,F,18,2,1,5
171,M,16,2,1,2
172,M,16,5,2,5
173,M,16,4,1,5
174,M,17,3,1,2
175,M,17,4,2,4
176,M,15,4,1,4
177,M,16,3,1,3
178,M,17,3,2,5
179,M,17,5,1,2
180,M,16,3,2,5
181,F,16,2,2,3
182,F,16,1,2,5
183,F,16,4,2,2
184,M,16,4,1,5
185,M,16,3,2,2
186,M,17,4,2,4
187,F,16,3,2,5
188,F,16,4,2,5
189,M,17,4,2,4
190,F,16,4,2,4
191,M,17,3,2,4
192,M,16,3,1,3
193,M,17,2,2,3
194,M,16,4,2,3
195,M,16,2,2,3
196,F,17,4,2,2
197,F,17,3,2,3
198,F,16,2,2,2
199,M,17,3,2,4
200,M,16,3,1,3
201,M,16,2,2,3
202,F,17,3,2,3
203,M,17,1,2,3
204,F,16,3,2,3
205,F,17,3,2,3
206,M,17,4,2,4
207,M,16,3,1,2
208,M,16,3,1,3
209,F,17,3,2,2
210,M,17,2,1,3
211,M,16,3,1,4
212,F,17,2,1,4
213,F,16,5,2,2
214,F,16,3,2,5
215,F,16,4,2,3
216,F,17,4,2,4
217,F,17,3,1,2
218,F,16,3,4,5
219,F,17,4,3,3
220,F,16,3,2,3
221,F,16,3,2,2
222,F,16,3,1,2
223,F,17,4,3,2
224,F,19,3,4,3
225,M,17,3,2,5
226,F,16,3,2,4
227,M,18,4,2,4
228,F,17,2,1,1
229,F,17,4,2,4
230,F,17,4,2,5
231,M,18,2,2,4
232,F,17,3,1,3
233,F,17,3,3,3
234,F,17,2,2,5
235,F,17,3,3,4
236,F,16,3,2,1
237,M,18,3,2,3
238,F,16,3,3,2
239,F,18,3,2,3
240,F,17,3,2,4
241,M,17,3,2,3
242,M,18,3,2,2
243,F,17,2,3,3
244,F,17,2,2,3
245,M,17,5,2,2
246,M,17,5,2,5
247,M,16,2,2,4
248,M,16,4,2,2
249,M,16,3,3,3
250,M,17,4,2,2
251,F,16,5,1,2
252,F,16,3,2,3
253,F,18,3,2,3
254,F,18,3,2,1
255,F,18,1,1,1
256,M,18,4,1,3
257,M,17,2,1,1
258,F,17,4,2,2
259,F,17,3,3,2
260,F,16,3,1,5
261,F,17,1,2,1
262,F,17,5,1,4
263,M,18,5,2,4
264,F,17,1,1,2
265,F,17,3,3,3
266,F,17,3,2,2
267,M,17,5,2,5
268,M,17,3,2,3
269,M,16,4,1,5
270,M,16,3,1,2
271,F,17,3,2,1
272,M,17,3,3,3
273,F,17,2,3,2
274,F,17,3,2,2
275,F,18,4,3,4
276,M,16,3,1,3
277,F,17,3,2,4
278,M,17,2,1,2
279,M,22,4,1,5
280,M,18,3,2,3
281,M,16,3,1,2
282,M,18,4,1,5
283,M,16,3,2,3
284,M,18,2,1,5
285,M,16,3,1,2
286,M,17,4,1,2
287,M,17,4,1,4
288,F,18,3,2,4
289,F,17,2,4,3
290,F,19,3,2,3
291,M,18,4,2,5
292,F,17,3,3,4
293,F,18,4,3,3
294,F,18,2,2,3
295,M,19,3,2,1
296,M,18,2,2,4
297,M,17,2,1,2
298,F,17,4,4,1
299,F,20,2,2,3
300,F,18,1,2,2
301,M,18,3,2,2
302,M,18,3,3,2
303,F,17,2,3,3
304,F,18,3,3,3
305,M,17,4,1,4
306,M,18,2,2,5
307,M,17,4,2,4
308,F,18,3,2,4
309,M,18,4,2,5
310,F,18,3,2,5
311,F,19,3,2,5
312,F,18,5,4,5
313,F,18,4,2,3
314,M,17,5,2,2
315,F,18,2,2,5
316,F,17,3,2,3
317,F,17,4,2,4
318,F,18,1,2,1
319,M,18,2,1,4
320,F,18,4,2,4
321,F,17,2,3,3
322,F,19,3,2,3
323,M,18,2,1,3
324,M,18,4,1,4
325,M,17,5,1,4
326,M,17,4,1,4
327,F,18,2,4,2
328,F,18,4,2,4
329,F,17,4,2,5
330,F,18,3,2,1
331,M,17,3,2,3
332,F,18,3,3,3
333,F,17,3,3,3
334,M,18,2,3,4
335,M,18,4,2,3
336,M,18,3,2,2
337,F,17,2,3,2
338,F,17,1,4,2
339,M,18,4,3,2
340,M,17,4,1,3
341,F,19,3,2,4
342,F,18,4,2,5
343,F,18,3,4,3
344,M,18,4,1,2
345,F,18,2,2,4
346,M,17,1,1,1
347,F,17,3,3,4
348,F,17,3,3,3
349,F,17,2,4,2
350,M,19,3,3,1
351,M,20,5,1,3
352,M,19,5,2,3
353,F,18,4,2,4
354,F,18,3,2,3
355,F,17,2,2,1
356,F,17,4,1,4
357,F,18,3,3,4
358,F,18,2,1,4
359,F,17,3,3,4
360,F,18,1,2,4
361,M,19,4,2,4
362,F,18,4,2,4
363,F,18,4,1,4
364,F,17,3,1,4
365,F,17,2,2,2
366,F,17,3,2,3
367,F,17,2,2,3
368,M,18,2,1,5
369,F,19,5,3,5
370,F,19,3,2,4
371,F,18,3,1,5
372,F,17,2,2,2
373,F,17,3,3,2
374,F,17,4,3,3
375,F,17,3,3,3
376,F,18,5,3,5
377,M,18,3,3,3
378,M,17,3,1,5
379,M,17,4,1,5
380,F,17,4,3,4
381,F,17,3,3,3
382,F,17,2,1,5
383,M,18,5,4,5
384,M,19,3,1,4
385,F,18,2,2,5
386,F,17,4,3,3
387,M,18,4,1,2
388,F,18,3,2,4
389,F,18,3,2,3
390,F,18,4,4,4
391,F,17,4,3,5
392,F,17,3,2,2
393,F,18,3,4,3
394,F,17,3,2,3
395,M,18,3,2,3
396,M,18,3,2,3
397,F,17,3,2,1
398,F,18,3,3,3
399,F,18,4,3,3
400,M,18,3,3,2
401,M,18,4,3,5
402,F,17,4,3,3
403,F,17,3,2,4
404,F,17,3,2,5
405,F,19,2,1,3
406,F,17,1,1,2
407,F,21,3,3,2
408,M,18,4,2,4
409,M,18,3,2,5
410,F,17,3,2,4
411,M,17,4,3,2
412,F,18,2,2,2
413,M,21,3,2,3
414,F,20,2,3,2
415,F,19,2,1,5
416,M,17,4,2,4
417,F,18,3,3,4
418,M,18,1,1,3
419,M,19,3,1,4
420,F,18,1,2,4
421,F,20,3,1,1
422,F,18,1,2,2
423,F,16,3,1,3
424,F,16,4,2,4
425,F,15,1,1,3
426,F,15,4,1,4
427,F,16,5,2,2
428,F,15,3,1,4
429,M,16,3,2,2
430,M,16,4,3,3
431,F,17,5,2,4
432,F,17,4,1,4
433,F,15,5,1,1
434,F,16,2,4,1
435,F,15,4,2,3
436,F,15,4,1,3
437,F,16,2,1,3
438,F,17,5,1,5
439,F,15,1,1,3
440,M,16,4,2,5
441,M,17,4,2,3
442,M,15,3,2,4
443,M,15,3,2,4
444,M,16,4,2,5
445,M,15,4,2,5
446,M,15,3,2,3
447,M,17,5,1,5
448,F,16,2,3,2
449,F,15,1,1,2
450,F,16,5,2,4
451,M,16,3,2,3
452,F,16,4,2,5
453,F,16,3,3,2
454,F,16,3,3,2
455,F,15,4,2,2
456,F,16,4,2,3
457,M,17,5,1,5
458,F,16,3,4,2
459,F,16,4,3,3
460,F,15,3,2,3
461,F,16,2,1,2
462,F,15,2,2,1
463,F,15,4,3,3
464,M,16,4,1,4
465,F,18,4,2,4
466,M,15,2,1,3
467,F,16,3,2,4
468,M,15,3,1,3
469,M,16,3,2,1
470,F,15,5,2,4
471,F,16,4,2,4
472,F,16,3,1,2
473,M,16,4,1,3
474,M,15,2,1,4
475,F,15,3,3,2
476,F,16,4,1,3
477,M,15,3,1,3
478,F,16,4,2,3
479,F,17,5,1,3
480,F,19,4,1,4
481,F,17,5,1,3
482,F,15,2,1,1
483,F,16,4,2,5
484,F,16,3,1,4
485,F,17,3,2,5
486,F,16,4,1,3
487,F,18,3,3,2
488,F,19,3,3,1
489,M,18,4,1,3
490,F,18,2,1,3
491,F,19,1,2,4
492,F,16,3,2,2
493,F,17,4,1,4
494,F,16,4,2,5
495,F,16,5,1,4
496,F,16,4,1,4
497,M,17,4,4,5
498,F,16,3,2,3
499,F,16,2,1,5
500,M,17,3,1,5
501,M,16,2,1,5
502,M,17,3,4,5
503,F,16,2,4,1
504,F,19,4,3,5
505,F,17,4,1,5
506,F,20,3,2,4
507,F,17,3,3,3
508,M,17,4,1,5
509,F,16,3,2,2
510,F,17,3,2,2
511,F,17,4,2,5
512,F,18,3,2,2
513,F,16,1,1,3
514,F,16,1,1,3
515,F,18,3,2,5
516,F,16,3,2,3
517,F,16,4,1,5
518,F,18,3,2,2
519,M,16,2,2,1
520,F,16,3,2,2
521,F,16,3,2,3
522,F,16,3,2,4
523,M,18,5,4,5
524,F,16,2,2,1
525,M,17,4,3,3
526,F,17,2,1,3
527,M,16,1,3,3
528,F,17,1,1,3
529,F,16,1,1,3
530,M,17,1,1,4
531,M,17,1,2,3
532,M,16,2,2,2
533,F,16,2,2,2
534,M,16,1,1,2
535,M,15,5,2,5
536,M,15,4,4,5
537,M,15,3,1,3
538,F,16,3,3,3
539,F,16,2,2,4
540,F,17,3,1,3
541,F,17,1,2,3
542,F,16,3,3,5
543,M,17,3,1,3
544,M,17,1,1,2
545,M,17,4,2,4
546,F,17,2,2,5
547,M,16,1,1,2
548,F,17,5,2,5
549,F,17,3,2,3
550,M,16,1,2,2
551,M,17,1,2,2
552,M,19,4,2,3
553,M,17,1,1,2
554,F,17,5,1,5
555,F,16,3,3,4
556,M,16,4,1,4
557,F,17,4,2,4
558,M,17,5,1,5
559,M,18,3,1,2
560,M,17,5,1,5
561,M,18,3,2,3
562,F,16,4,2,3
563,M,17,2,1,1
564,M,16,5,1,5
565,M,16,5,1,5
566,M,18,3,1,3
567,M,18,3,1,1
568,M,19,2,1,1
569,M,18,4,2,5
570,M,16,4,1,3
571,M,19,4,1,3
572,F,16,5,2,5
573,F,17,3,1,2
574,M,20,4,1,3
575,F,18,4,1,4
576,M,18,5,1,5
577,M,19,4,2,4
578,M,17,5,2,4
579,M,18,3,1,3
580,M,19,4,1,4
581,F,18,3,2,3
582,F,19,4,1,4
583,F,18,5,1,5
584,F,17,4,1,3
585,F,17,2,3,3
586,F,17,5,2,5
587,F,18,3,2,3
588,F,17,2,1,2
589,F,17,5,1,1
590,F,18,4,2,4
591,F,18,3,2,5
592,F,17,4,1,3
593,F,18,4,2,3
594,F,18,3,2,5
595,M,18,4,1,5
596,F,17,3,2,3
597,F,18,3,2,3
598,M,18,1,1,4
599,M,18,5,1,5
600,M,17,2,1,3
601,F,18,3,2,1
602,F,18,4,3,5
603,F,18,3,2,1
604,F,18,4,2,2
605,F,19,5,1,5
606,F,17,2,4,3
607,F,17,3,2,3
608,F,18,2,2,3
609,F,18,1,2,1
610,F,19,5,2,4
611,F,18,2,3,1
612,M,17,5,2,5
613,F,18,3,2,4
614,F,17,3,2,3
615,F,17,2,2,3
616,M,18,3,1,2
617,F,18,3,3,2
618,F,18,3,2,4
619,F,18,3,2,2
620,F,17,3,2,4
621,F,17,2,2,2
622,M,18,3,2,4
623,M,18,2,3,2
624,F,17,2,1,1
625,F,18,2,1,3
626,F,18,2,2,2
627,M,18,3,1,3
628,F,17,4,3,3
629,F,17,5,1,5
630,F,18,4,3,4
631,F,18,3,3,2
632,F,19,3,2,3
633,F,18,4,2,3
634,F,18,1,2,3
635,F,17,5,2,4
636,M,18,2,2,4
637,M,18,4,1,3
638,M,17,4,2,3
639,M,19,3,1,2
640,M,18,4,1,3
641,F,18,3,3,3
642,F,17,5,2,4
643,F,18,4,1,3
644,F,19,4,3,2
645,F,18,3,2,4
646,F,18,1,2,1
647,M,17,4,1,5
648,M,18,4,1,1
